NOUN	WIKICONLL	ITWAC	REPUBBLICA
parietti	0	0	1
barnard	0	0	1
moneta	0	0	2
suharto	0	0	4
kyoto	0	18	1
previti	0	0	1
castrismo	0	0	1
bicamerale	0	0	5
amichevole	0	0	1
spaventa	0	0	1
cannes	0	0	1
nato	0	0	1
austria	0	0	1
rogo	0	1	1
eliminazione	0	1	2
conferenza	0	8	1
rottamazione	0	0	1
evento	0	3	1
confessione	0	0	1
maldini	0	0	1
boris	0	0	1
avviso	0	0	1
nano	0	0	1
lippi	0	0	4
bernabè	0	0	2
velasco	0	0	1
scalfaro	0	0	1
concerti	0	0	1
matrimonio	1	6	1
goteborg	0	0	1
assia	0	0	1
fossa	0	0	10
ruggiero	0	0	3
lafontaine	0	0	3
bombardamento	0	2	1
jugoslavia	0	0	1
bombe	0	2	1
usa	0	0	1
valletta	0	0	1
centenario	0	0	1
caselli	0	0	1
mullah	0	0	1
schumacher	0	0	1
milosevic	0	0	2
edmundo	0	0	1
bologna	0	0	1
amoroso	0	0	1
colaninno	0	0	1
monopolio	0	1	1
deutsche	0	0	1
assoluzione	0	0	1
irvine	0	0	1
intesa	0	0	1
compagnoni	0	0	1
verdi	0	0	2
ulivo	0	1	4
tudjman	0	0	1
freud	0	0	1
sarajevo	0	0	1
diluvio	0	1	1
lewinsky	0	0	1
seattle	0	0	1
ocalan	0	0	1
vieri	0	0	1
borsellino	0	0	1
portogallo	0	0	1
fazio	0	0	1
corrado	1	0	0
sbornia	1	6	0
isola	5	0	0
walt	2	0	0
agonismo	1	0	0
rapina	2	1	0
amministrative	1	0	0
amin	1	0	0
serata	1	0	0
fava	1	0	0
apocalisse	1	4	0
siena	1	0	0
azione	1	0	0
olympia	1	0	0
callas	1	0	0
monsone	1	0	0
giolitti	1	0	0
chiusura	1	1	0
serie	1	0	0
ricostruzione	1	1	0
convenzione	0	3	0
degustazione	0	1	0
irak	0	2	0
bolla	0	3	0
cresima	0	5	0
domenica	0	8	0
alpha	0	1	0
studio	0	1	0
statuto	0	2	0
ufficio	0	1	0
posse	0	1	0
cene	0	1	0
indipendenza	0	5	0
clarke	0	1	0
film	0	2	0
dopofestival	0	2	0
bagno	0	2	0
tsunami	0	19	0
completamento	0	2	0
mezzanotte	0	3	0
sbronza	0	6	0
sirchia	0	2	0
maranghi	0	1	0
bonolis	0	4	0
mensa	0	37	0
talebani	0	17	0
shuttle	0	1	0
salonicco	0	1	0
gilardino	0	3	0
napster	0	3	0
shampoo	0	3	0
condanna	0	3	0
lifting	0	2	0
allargamento	0	2	0
fujimori	0	1	0
pooh	0	1	0
infarto	0	2	0
colonnelli	0	1	0
regolarizzazione	0	1	0
neorealismo	0	1	0
norme	0	1	0
dovere	0	1	0
lezioni	0	1	0
intervento	0	2	0
attacchi	0	1	0
ferguson	0	2	0
pasto	0	4	0
sheva	0	1	0
diploma	0	2	0
acquisizione	0	1	0
caduta	0	4	0
sviluppo	0	23	0
famiglia	0	2	0
